PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
0,0.524,1,7.125,136.358,33.4674,,,
0,0.076,1,5.5,181.2568,59.2456,,,
0,0.017,0,3.625,321.405,46.595,,,
0,0.066,1,6.875,132.5705,43.3614,,,
0,0.1,0,3,196.9983,27.398,,,
0,0.006,1,6.25,146.3698,37.1488,,,
0,0.001,0,3.125,282.61,24.4236,,,
0,0.008,0,3.5,320.3217,66.5977,,,
0,0.295,1,6.875,134.4097,29.3813,,,
0,0.667,1,7.375,146.6962,35.2419,,,
0,0.089,0,3.5,255.085,15.8681,,,
0,0.001,1,5.875,140.9057,43.1226,,,
0,0.007,1,6.375,144.339,41.8568,,,
0,0.036,0,3.875,272.535,60.32,,,
0,0.031,1,6.125,155.4912,50.3642,,,
0,0.136,1,5.875,176.1128,60.3351,,,
0,0.039,0,3.5,325.9783,29.3908,,,
0,0.007,1,6.375,143.8692,40.9641,,,
0,0.009,1,5.75,160.0845,50.6351,,,
0,0.156,0,3.25,205.5383,23.9678,,,
0,0.002,1,6,139.9543,40.0067,,,
0,0.01,1,6,149.8778,52.2925,,,
0,0.082,1,6.875,146.4725,41.6056,,,
0,0.003,0,2.875,236.105,8.455,,,
0,0.004,0,2.875,236.01,10.39,,,
0,0.19,0,3.375,238.18,23.0385,,,
0,0.882,1,7.5,140.4497,31.709,,,
0,0.002,1,5.75,126.8263,23.6091,,,
0,0.012,0,3,208.61,5.67,,,
0,0.009,1,6.375,141.8852,38.7088,,,
0,0.845,1,7.5,136.0272,34.1324,,,
0,0.104,0,2.5,161.455,14.535,,,
0,0.005,1,6.25,135.2303,38.3242,,,
0,0.002,1,5.875,153.35,34.8381,,,
0,0,0,2.125,173.09,1.74,,,
0,0,1,5.5,143.1348,42.0322,,,
0,0.278,1,6.875,154.736,53.3219,,,
0,0.024,1,6.25,152.2168,45.6874,,,
0,0.184,1,7,140.1007,40.0502,,,
0,0.02,1,6.5,145.4307,38.1711,,,
0,0.078,0,3.25,234.835,19.095,,,
0,0.061,1,6.625,134.3598,33.4263,,,
0,0.054,0,3.75,266.9917,55.5687,,,
0,0.137,1,7,145.8187,41.0915,,,
0,0.065,0,3.5,258.115,21.055,,,
0,0.006,0,2.125,150.05,0,,,
0,0.001,0,2.625,190.185,0.975,,,
0,0.484,1,7,129.4432,31.2487,,,
0,0.02,0,3.5,342.8133,28.4158,,,
0,0.009,0,1.875,137.22,0,,,
0,0.005,0,2.875,212.8483,6.1706,,,
0,0.032,0,3,191.52,15.23,,,
0,0.046,1,6.5,150.1242,45.2522,,,
0,0.019,1,6.125,153.1773,48.2789,,,
0,0.6,1,7.25,139.1143,35.2627,,,
0,0.131,1,7,152.9738,44.557,,,
0,0.066,0,3.75,293.745,38.5269,,,
0,0.005,1,6.25,142.8795,38.8134,,,
