Rate (Hz),ISI mean (ms),ISI std  (ms),PD,STIMU
7.25,141.0502,42.7577,0,1
7,150.6233,47.8855,0,1
6.625,138.7465,36.2621,0,1
6.125,154.5907,36.5431,0,1
6.5,154.1572,45.4649,0,1
6.75,139.531,36.9383,0,1
6.75,157.6435,55.1089,0,1
6.5,147.641,45.2821,0,1
7,128.3609,27.499,0,1
6.625,127.0283,30.209,0,1
6.5,167.4162,64.1637,0,1
6.875,132.4965,35.1061,0,1
6.875,150.5662,49.3667,0,1
7.125,137.6697,26.3699,0,1
6.875,156.524,47.8363,0,1
7,135.587,41.2691,0,1
7,128.364,26.8445,0,1
6.125,150.7715,46.302,0,1
5.625,150.1403,39.4629,0,1
6.375,131.5862,37.1419,0,1
7.25,143.679,40.3856,0,1
6.75,140.7383,29.2945,0,1
6.625,151.832,45.1597,0,1
5.875,150.1542,43.0658,0,1
5.75,138.1138,32.5702,0,1
6.125,151.1867,31.5153,0,1
4.25,161.6167,60.7466,0,1
7.375,128.4763,31.8151,0,1
6.625,146.017,45.2722,0,1
7.125,139.6995,39.5875,0,1
6.25,148.7863,46.1709,0,1
4.25,176.4875,41.0435,0,1
6.875,136.382,47.2066,0,1
6.5,140.0477,37.1716,0,1
7,136.5485,40.9293,0,1
5.75,162.424,59.9127,0,1
6.125,154.2322,51.8317,0,1
7.375,141.1227,42.8101,0,1
6.375,137.5057,38.6864,0,1
6.125,159.7332,47.3015,0,1
5.875,143.6943,39.0773,0,1
6.125,139.7985,42.2003,0,1
6.875,144.3253,31.2008,0,1
8,116.516,23.4004,1,1
8,115.0797,20.864,1,1
7.5,125.4872,27.3418,1,1
6.625,162.2775,68.9486,1,1
7.625,124.0339,27.6148,1,1
7.75,131.4533,31.9998,1,1
7.75,123.85,30.918,1,1
8.625,120.1075,25.3127,1,1
7.25,121.1208,28.631,1,1
7.75,119.4133,23.7576,1,1
8.25,117.7583,23.2127,1,1
8.5,118.832,28.2404,1,1
7.75,127.2657,25.3028,1,1
8.25,122.3688,33.1081,1,1
7.375,122.805,30.5572,1,1
7.875,115.046,26.716,1,1
8,111.8217,23.2825,1,1
7.375,122.1932,22.8368,1,1
8,118.3005,25.2963,1,1
8,123.5013,31.8121,1,1
8.375,116.4933,23.1586,1,1
8,123.3393,35.4223,1,1
7.375,128.5615,23.4405,1,1
7.25,127.5665,30.3981,1,1
8.375,113.1198,21.5275,1,1
7.375,127.0518,28.1177,1,1
8.125,123.9387,26.6869,1,1
7.5,127.2303,33.2857,1,1
8.25,126.0032,26.7834,1,1
8.75,115.1404,21.9612,1,1
7.125,134.7487,25.851,1,1
7.375,127.751,30.1461,1,1
8.875,113.9034,26.6572,1,1
9,112.8702,25.1516,1,1
7,138.3603,39.2999,1,1
8,117.2802,22.533,1,1
8.375,120.7558,24.1694,1,1
8.25,123.3664,28.5615,1,1
8,117.962,22.2608,1,1
8,126.7397,33.8073,1,1
7.25,135.6998,42.2496,1,1
8.125,122.7067,30.0074,1,1
7.25,130.746,30.5653,1,1
8.625,119.061,28.2094,1,1
7.625,126.2512,27.8489,1,1
8.125,127.844,31.9537,1,1
7.625,129.5078,25.0343,1,1
8.375,120.73,26.1922,1,1
8.25,118.1227,25.3725,1,1
9,114.8251,27.6812,1,1
8,126.898,26.6829,1,1
5.75,198.9342,90.8807,1,1
7.125,137.752,28.9661,1,1
7.75,125.8652,32.4755,1,1
8.375,123.0732,32.5389,1,1
7.5,127.8023,33.859,1,1
7.75,122.3297,24.5742,1,1
7.75,120.145,27.2297,1,1
7.625,127.8753,28.9023,1,1
8.25,119.71,23.4853,1,1
7.5,119.311,27.6795,1,1
8.5,120.2999,30.7726,1,1
7,133.6358,27.8393,1,1
8.5,121.5096,24.9488,1,1
8.375,121.576,27.4309,1,1
8,122.5804,25.0393,1,1
8.375,121.9173,31.4096,1,1
8.625,121.7041,26.1006,1,1
7.25,141.8725,38.5,1,1
8.625,118.2548,32.0633,1,1
8.375,117.3703,21.7609,1,1
7.5,128.0638,25.7107,1,1
7.5,130.8113,29.8491,1,1
7.375,118.0668,25.8793,1,1
7.5,126.1256,34.8095,1,1
7.125,136.7742,31.227,1,1
8,126.221,33.5142,1,1
6.875,153.351,53.9854,1,1
7.375,132.4533,39.78,1,1
7.75,123.1705,28.5736,1,1
8.5,116.537,25.0473,1,1
8.375,124.6964,28.9297,1,1
8,128.499,29.989,1,1
7.875,118.1777,23.6771,1,1
8,127.6605,22.7888,1,1
6.875,132.1632,21.9788,1,1
7.625,119.1982,27.3147,1,1
7.875,126.5817,28.299,1,1
8.5,115.3638,25.7599,1,1
7.375,124.833,32.838,1,1
7.375,138.5447,35.6863,1,1
9.125,116.218,27.4216,1,1
6.625,156.9142,34.9978,1,1
8,130.1129,28.9242,1,1
6.75,134.8325,24.4458,1,1
8.375,114.7095,23.2051,1,1
7.375,127.7822,30.5201,1,1
7.625,121.3195,28.2851,1,1
7.75,117.249,25.4605,1,1
7.375,129.0665,33.7058,1,1
8.375,117.9383,25.4924,1,1
7.625,143.4862,46.0223,1,1
8,116.659,22.376,1,1
7.5,119.8235,25.9572,1,1
7.625,129.0987,26.5025,1,1
7.875,119.6593,17.2993,1,1
8.375,118.3517,25.6918,1,1
7.625,129.1148,26.7738,1,1
6.625,165.1872,55.1675,1,1
7.5,134.0597,37.4456,1,1
8,117.9521,28.0895,1,1
8.5,116.8553,24.3962,1,1
8.625,112.7383,20.7695,1,1
6,177.143,84.3935,1,1
8.625,115.3486,22.6771,1,1
6.125,175.9743,65.9393,1,1
7.5,129.7498,36.2217,1,1
7.875,131.2643,30.2606,1,1
7.5,126.6462,31.9601,1,1
8,116.8673,26.4609,1,1
7.75,123.6813,26.5717,1,1
7.5,129.2455,36.7118,1,1
7.875,124.5175,31.846,1,1
